longitude,latitude,station,value,area,purpose,height,color,areatype,datatype
139.82101,35.73013,鐘ケ淵・160,41.5,111,店舗兼住宅,415,3,business,price
139.80263,35.69301,都営両国・500,67.4,196,店舗兼共同住宅,674,5,business,price
139.80931,35.70705,とうきょうスカイツリー・150,94.1,314,店舗兼共同住宅,941,6,business,price
139.84213,35.66776,南砂町・1000,34.6,63,住宅,346,2,residence,price
139.81406,35.68957,住吉・100,50.0,94,住宅兼車庫,500,3,residence,price
139.83536,35.68798,大島・380,40.8,55,事務所兼住宅,408,2,residence,price
139.82291,35.67286,東陽町・900,38.8,47,住宅,388,2,residence,price
139.83054,35.66916,南砂町・350,42.5,90,住宅,425,3,residence,price
139.78481,35.63832,有明テニスの森・240,60.0,3343,店舗兼共同住宅,600,4,residence,price
139.82890,35.69166,西大島・320,40.0,131,住宅兼車庫,400,2,residence,price
139.81441,35.67180,東陽町・370,53.5,296,事務所兼共同住宅,535,4,residence,price
139.81718,35.68612,住吉・90,55.1,148,共同住宅,551,4,residence,price
139.82224,35.67883,東陽町・1300,42.4,98,建築中,424,3,residence,price
139.84395,35.67990,東大島・1100,44.1,349,店舗兼共同住宅,441,3,residence,price
139.83363,35.69503,亀戸・750,41.0,94,車庫兼住宅,410,3,residence,price
139.79158,35.67355,門前仲町・320,54.3,75,住宅,543,4,residence,price
139.80202,35.63870,東雲・180,66.9,3741,共同住宅,669,5,residence,price
139.83897,35.69591,亀戸・900,58.5,259,共同住宅兼車庫,585,4,business,price
139.82468,35.69937,亀戸・350,61.9,273,事務所,619,4,business,price
139.82343,35.68718,西大島・100,66.9,105,診療所兼住宅,669,5,business,price
139.83070,35.67814,大島・1400,54.7,79,店舗兼住宅,547,4,business,price
139.79491,35.67147,門前仲町（近接）,172.0,317,店舗兼事務所,1720,7,business,price
139.82915,35.70283,亀戸・470,49.6,142,店舗、事務所兼住宅,496,3,business,price
139.81764,35.68284,住吉・580,56.6,78,店舗兼共同住宅,566,4,business,price
139.82246,35.69618,亀戸・500,74.1,209,店舗兼事務所,741,5,business,price
139.82034,35.70127,亀戸・950,57.8,103,店舗兼共同住宅,578,4,business,price
139.81194,35.67113,木場・470,51.6,66,店舗兼共同住宅,516,4,business,price
139.79796,35.67173,門前仲町・280,115.0,198,店舗兼共同住宅,1150,7,business,price
139.82617,35.66257,東陽町・1400,40.0,3773,倉庫兼事務所,400,2,,price
139.83890,35.64085,新木場・1300,28.0,4695,工場、研究所兼事務所,280,2,,price
139.71046,35.61831,武蔵小山・720,62.8,144,住宅,628,4,residence,price
139.71567,35.63636,目黒・680,109.0,248,住宅,1090,6,residence,price
139.73810,35.60169,大井町・490,61.3,108,住宅,613,4,residence,price
139.72220,35.60836,戸越公園・270,60.7,121,住宅,607,4,residence,price
139.70729,35.60983,荏原中延・310,62.5,74,共同住宅,625,4,residence,price
139.69897,35.60683,洗足・540,70.7,132,住宅,707,5,residence,price
139.72932,35.62801,五反田・600,100.0,284,住宅,1000,6,residence,price
139.73227,35.62148,大崎・530,103.0,1353,共同住宅,1030,6,residence,price
139.73604,35.59615,立会川・420,58.5,71,住宅,585,4,residence,price
139.71130,35.61482,戸越銀座・430,62.4,87,住宅,624,4,residence,price
139.71083,35.62611,不動前・680,66.2,69,住宅,662,5,residence,price
139.69835,35.61412,西小山・130,81.5,110,店舗、事務所兼共同住宅,815,6,business,price
139.70601,35.60515,旗の台・60,84.7,86,店舗兼住宅,847,6,business,price
139.71378,35.62411,不動前・70,87.9,104,店舗兼住宅,879,6,business,price
139.71063,35.61069,荏原中延・100,82.2,125,店舗兼住宅,822,6,business,price
139.71837,35.60904,戸越公園・230,84.8,127,店舗兼共同住宅,848,6,business,price
139.72681,35.61777,大崎・500,86.5,182,店舗兼共同住宅,865,6,business,price
139.74391,35.60873,青物横丁・130,95.5,141,店舗兼共同住宅,955,6,business,price
139.70813,35.60251,荏原町・120,86.1,80,店舗兼事務所,861,6,business,price
139.71674,35.61314,戸越（近接）,111.0,230,店舗兼共同住宅,1110,6,business,price
139.71567,35.63636,目黒・200,320.0,275,店舗兼共同住宅,3200,8,business,price
139.74875,35.61495,品川シーサイド・700,84.5,925,店舗兼事務所,845,6,business,price
139.72920,35.60197,大井町・450,95.0,219,店舗兼住宅,950,6,business,price
139.66704,35.61027,自由が丘・500,109.0,308,住宅,1090,6,residence,price
139.70906,35.62935,目黒・760,69.5,95,住宅,695,5,residence,price
139.69157,35.61819,学芸大学・1200,71.0,281,共同住宅,710,5,residence,price
139.68271,35.62683,学芸大学・500,81.0,132,住宅,810,6,residence,price
139.69409,35.63900,祐天寺・400,77.5,203,住宅,775,5,residence,price
139.68114,35.65763,駒場東大前・300,80.5,169,住宅,805,6,residence,price
139.67366,35.61026,緑が丘・600,77.3,161,住宅,773,5,residence,price
139.66493,35.62576,駒沢大学・600,72.5,128,住宅,725,5,residence,price
139.69612,35.61649,西小山・450,68.7,76,住宅,687,5,residence,price
139.67294,35.61945,都立大学・280,112.0,272,店舗兼共同住宅,1120,7,business,price
139.69373,35.61070,洗足・70,80.0,166,店舗兼共同住宅,800,6,business,price
139.69495,35.64415,中目黒（近接）,360.0,155,店舗、事務所兼住宅,3600,8,business,price
139.69690,35.64119,中目黒・190,126.0,89,店舗兼共同住宅,1260,7,business,price
139.69293,35.63678,祐天寺・100,89.0,142,店舗兼事務所,890,6,business,price
139.68654,35.65332,池尻大橋・140,178.0,674,店舗兼事務所,1780,7,business,price
139.69690,35.64812,中目黒・480,107.0,244,店舗兼事務所,1070,6,business,price
139.68848,35.61018,大岡山・350,64.0,193,住宅,640,5,residence,price
139.67963,35.58138,久が原・550,46.8,147,住宅,468,3,residence,price
139.68858,35.56791,武蔵新田・410,42.1,175,住宅,421,3,residence,price
139.70026,35.59752,長原・600,51.5,177,住宅,515,4,residence,price
